update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0133681,18,10,24,19,26,24,16,27,26,21,20,26,8,13,21,27,22,18,21,13
10,0.0647093,50,21,12,17,6,12,4,14,6,3,51,19,17,20,8,9,43,46,19,23
20,0.124159,32,13,25,22,7,15,2,16,1,0,44,15,17,13,7,18,74,40,17,22
30,0.0118832,31,14,23,35,11,38,2,7,0,1,50,26,6,1,9,9,77,49,9,2
40,-0.0718226,41,10,25,48,30,29,8,4,1,6,25,20,8,4,5,15,83,20,7,11
50,-0.285477,86,19,30,42,24,20,28,3,0,5,35,8,10,1,4,8,59,5,4,9
60,-0.336257,96,39,6,42,14,49,7,2,0,0,39,14,21,1,0,11,54,4,1,0
70,-0.284256,64,34,34,39,29,39,16,10,0,2,10,7,16,5,0,7,65,23,0,0
80,-0.370697,69,19,37,61,29,30,36,11,4,5,29,3,3,0,0,7,33,24,0,0
90,-0.251115,37,59,28,22,20,22,28,17,22,13,45,4,0,0,0,9,32,40,2,0
100,-0.245074,57,33,8,9,28,31,42,43,17,14,42,2,0,0,0,8,16,45,5,0
110,-0.0952398,62,39,14,1,14,14,4,18,27,29,46,10,0,0,1,20,18,59,24,0
120,0.044132,75,29,20,0,0,0,1,29,29,18,9,0,0,0,4,17,27,70,69,3
130,0.19174,52,32,24,4,0,0,7,10,26,8,5,0,0,0,0,4,23,100,102,3
140,-0.145459,120,70,18,2,0,0,10,5,0,1,1,0,0,0,0,4,22,62,76,9
150,-0.0401947,110,53,26,6,0,0,0,0,0,1,5,0,0,0,0,0,15,76,101,7
160,-0.309772,183,46,26,3,0,0,0,0,0,0,0,0,0,0,0,0,7,56,62,17
170,-0.240213,145,34,30,34,7,0,0,0,0,0,0,0,0,0,0,0,11,65,54,20
180,-0.212534,158,19,42,21,1,0,0,0,0,0,0,0,0,0,0,0,6,67,70,16
190,-0.247298,138,38,40,34,2,0,0,0,0,0,0,0,0,0,0,0,22,57,38,31
200,-0.292334,127,35,41,60,3,0,0,0,0,0,0,0,0,0,0,0,15,67,38,14
210,-0.245515,88,27,35,104,12,0,0,0,0,0,0,0,0,0,0,0,21,46,34,33
220,-0.216941,67,27,30,119,16,0,0,0,0,0,0,0,0,0,0,0,26,67,43,5
230,-0.323731,61,21,63,120,20,0,0,0,0,0,0,0,0,0,0,12,30,58,14,1
240,-0.4712,85,27,46,128,37,0,0,0,0,0,0,0,0,0,0,4,30,37,6,0
250,-0.461017,100,18,50,116,33,1,0,0,0,0,0,0,0,0,0,1,39,32,10,0
260,-0.509014,65,14,47,150,65,4,0,0,0,0,0,0,0,0,0,2,20,22,11,0
270,-0.307496,58,10,28,96,90,9,0,0,0,0,0,0,0,0,0,0,36,58,15,0
280,-0.129859,29,4,56,87,61,6,0,0,0,0,0,0,0,0,0,8,51,70,27,1
290,0.0273491,15,5,35,92,40,14,0,0,0,0,0,0,0,0,0,8,61,90,40,0
300,-0.154123,15,4,41,126,44,19,2,0,0,0,0,0,0,0,0,16,59,61,10,3
310,-0.201254,7,20,42,125,46,26,0,0,0,0,0,0,0,0,0,13,46,73,2,0
320,-0.150725,7,4,33,104,69,30,11,0,0,0,0,0,0,0,0,22,49,69,2,0
330,-0.14845,0,0,45,103,74,32,6,0,0,0,0,0,0,0,0,18,59,44,19,0
340,-0.102677,0,0,49,97,65,35,1,0,0,0,0,0,0,0,0,0,56,85,12,0
350,-0.334927,0,3,73,99,104,38,0,0,0,0,0,0,0,0,0,6,11,49,17,0
360,-0.3504,0,7,68,123,103,13,0,0,0,0,0,0,0,0,0,7,32,41,6,0
370,-0.471379,0,11,80,154,47,58,1,0,0,0,0,0,0,0,0,11,15,23,0,0
380,-0.418986,0,28,80,105,54,59,12,0,0,0,0,0,0,0,0,9,17,36,0,0
390,-0.528654,9,51,89,123,34,22,32,0,0,0,0,0,0,0,0,5,11,24,0,0
400,-0.666494,13,59,110,121,56,6,30,3,0,0,0,0,0,0,0,0,0,2,0,0
