update,mean_intval,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00885911,17,19,19,18,15,20,27,24,27,23,21,22,18,21,10,27,28,9,18,17
10,-0.00638912,0,0,1,2,0,0,1,1,1,151,20,1,0,0,0,0,0,0,2,0
20,-0.000285407,0,0,0,0,0,0,0,0,0,146,20,0,0,0,0,0,0,0,0,0
30,0.000202524,0,0,0,0,0,0,0,0,0,125,21,0,0,0,0,0,0,0,0,0
40,-0.000280477,0,0,0,0,0,0,0,0,0,143,21,0,0,0,0,0,0,0,0,0
50,-4.97928e-06,0,0,0,0,0,0,0,0,0,169,16,0,0,0,0,0,0,0,0,0
60,-0.000163791,0,0,0,0,0,0,0,0,0,198,26,0,0,0,0,0,0,0,0,0
70,-0.00053677,0,0,0,0,0,0,0,0,0,221,12,0,0,0,0,0,0,0,0,0
80,-0.000365049,0,0,0,0,0,0,0,0,0,240,20,0,0,0,0,0,0,0,0,0
90,-3.75573e-05,0,0,0,0,0,0,0,0,0,254,21,0,0,0,0,0,0,0,0,0
100,-0.000167498,0,0,0,0,0,0,0,0,0,268,25,0,0,0,0,0,0,0,0,0
110,-0.000181986,0,0,0,0,0,0,0,0,0,303,21,0,0,0,0,0,0,0,0,0
120,-0.000147339,0,0,0,0,0,0,0,0,0,317,17,0,0,0,0,0,0,0,0,0
130,-0.000355931,0,0,0,0,0,0,0,0,0,283,26,0,0,0,0,0,0,0,0,0
140,-0.000235578,0,0,0,0,0,0,0,0,0,288,26,0,0,0,0,0,0,0,0,0
150,2.65005e-05,0,0,0,0,0,0,0,0,0,293,24,0,0,0,0,0,0,0,0,0
160,8.93547e-05,0,0,0,0,0,0,0,0,0,279,21,0,0,0,0,0,0,0,0,0
170,-0.000171057,0,0,0,0,0,0,0,0,0,262,15,0,0,0,0,0,0,0,0,0
180,0.000221035,0,0,0,0,0,0,0,0,0,273,25,0,0,0,0,0,0,0,0,0
190,-0.000383422,0,0,0,0,0,0,0,0,0,277,13,0,0,0,0,0,0,0,0,0
200,7.65916e-05,0,0,0,0,0,0,0,0,0,281,30,0,0,0,0,0,0,0,0,0
210,-0.000345204,0,0,0,0,0,0,0,0,0,290,19,0,0,0,0,0,0,0,0,0
220,7.75804e-05,0,0,0,0,0,0,0,0,0,276,26,0,0,0,0,0,0,0,0,0
230,0.000308712,0,0,0,0,0,0,0,0,0,281,22,0,0,0,0,0,0,0,0,0
240,-0.0001695,0,0,0,0,0,0,0,0,0,271,25,0,0,0,0,0,0,0,0,0
250,-0.000396148,0,0,0,0,0,0,0,0,0,295,22,0,0,0,0,0,0,0,0,0
260,9.26608e-05,0,0,0,0,0,0,0,0,0,288,28,0,0,0,0,0,0,0,0,0
270,-3.2975e-05,0,0,0,0,0,0,0,0,0,303,21,0,0,0,0,0,0,0,0,0
280,0.000142267,0,0,0,0,0,0,0,0,0,276,26,0,0,0,0,0,0,0,0,0
290,0.000175941,0,0,0,0,0,0,0,0,0,264,36,0,0,0,0,0,0,0,0,0
300,-7.45336e-05,0,0,0,0,0,0,0,0,0,264,27,0,0,0,0,0,0,0,0,0
310,-0.00039687,0,0,0,0,0,0,0,0,0,283,24,0,0,0,0,0,0,0,0,0
320,7.01071e-05,0,0,0,0,0,0,0,0,0,285,29,0,0,0,0,0,0,0,0,0
330,-0.000358786,0,0,0,0,0,0,0,0,0,292,19,0,0,0,0,0,0,0,0,0
340,9.60646e-05,0,0,0,0,0,0,0,0,0,280,28,0,0,0,0,0,0,0,0,0
350,-4.24938e-05,0,0,0,0,0,0,0,0,0,287,28,0,0,0,0,0,0,0,0,0
360,-0.000322877,0,0,0,0,0,0,0,0,0,281,19,0,0,0,0,0,0,0,0,0
370,-0.000185385,0,0,0,0,0,0,0,0,0,270,27,0,0,0,0,0,0,0,0,0
380,-0.000116009,0,0,0,0,0,0,0,0,0,271,34,0,0,0,0,0,0,0,0,0
390,0.000200377,0,0,0,0,0,0,0,0,0,295,32,0,0,0,0,0,0,0,0,0
400,0.00023482,0,0,0,0,0,0,0,0,0,298,30,0,0,0,0,0,0,0,0,0
410,0.000159717,0,0,0,0,0,0,0,0,0,294,21,0,0,0,0,0,0,0,0,0
420,-0.000260765,0,0,0,0,0,0,0,0,0,287,10,0,0,0,0,0,0,0,0,0
430,0.000552337,0,0,0,0,0,0,0,0,0,292,29,0,0,0,0,0,0,0,0,0
440,-2.02272e-05,0,0,0,0,0,0,0,0,0,292,19,0,0,0,0,0,0,0,0,0
450,-0.000192036,0,0,0,0,0,0,0,0,0,292,20,0,0,0,0,0,0,0,0,0
460,-0.000121378,0,0,0,0,0,0,0,0,0,274,20,0,0,0,0,0,0,0,0,0
470,0.000183327,0,0,0,0,0,0,0,0,0,267,19,0,0,0,0,0,0,0,0,0
480,0.000491928,0,0,0,0,0,0,0,0,0,260,23,0,0,0,0,0,0,0,0,0
490,-0.000598072,0,0,0,0,0,0,0,0,0,272,20,0,0,0,0,0,0,0,0,0
500,-0.000589822,0,0,0,0,0,0,0,0,0,232,17,0,0,0,0,0,0,0,0,0
510,-0.000199654,0,0,0,0,0,0,0,0,0,216,22,0,0,0,0,0,0,0,0,0
520,-0.000429561,0,0,0,0,0,0,0,0,0,228,19,0,0,0,0,0,0,0,0,0
530,-1.11008e-05,0,0,0,0,0,0,0,0,0,222,14,0,0,0,0,0,0,0,0,0
